scenario,connect,send,wait,history,total
single-w,751.843,2.71005,22087.0611,203.5342,22293.349550000003
multi-5x4w-stag500,521.6152500000001,9.11545,45328.16375,181.42905000000002,45518.749449999996
multi-inst-5x4i,2823.00175,8.25855,40460.2554,855.2637500000001,41323.8145
multi-inst-5x2ix2w-500,741.2520000000001,305.7653157894737,40103.40468421052,178.40868421052633,40587.619315789474
