scenario,total_mean,total_p50,total_p95,total_p99
single-w,22293.349550000003,21906.624,37639.82,50101.857
multi-5x4w-stag500,45518.749449999996,45706.73,72247.396,101460.015
multi-inst-5x4i,41323.8145,35666.556,62994.345,116246.456
multi-inst-5x2ix2w-500,40587.619315789474,29778.572,60151.18,188147.029
