scenario,run_dir,instance_num,requests_total,requests_ok,requests_failed,connect_mean_ms,send_mean_ms,send_p95_ms,send_p99_ms,wait_mean_ms,wait_p50_ms,wait_p95_ms,wait_p99_ms,history_mean_ms,history_p95_ms,history_p99_ms,total_mean_ms,total_p50_ms,total_p95_ms,total_p99_ms,benchmark_cpu_percent_mean,benchmark_cpu_usr_percent_mean,benchmark_cpu_system_percent_mean,benchmark_cpu_wait_percent_mean,benchmark_rss_kib_mean,benchmark_kb_wr_per_s_mean,benchmark_iodelay_mean,benchmark_cswch_per_s_mean,benchmark_nvcswch_per_s_mean,system_busiest_device,system_disk_pct_util_mean,system_disk_r_await_mean,system_disk_w_await_mean,system_disk_aqu_sz_mean,system_disk_wkb_s_mean,system_interrupts_per_s_mean,system_context_switches_per_s_mean,system_run_queue_mean,system_blocked_processes_mean
single-w,/root/Zehao/ClawHarness/out/batch_run_1/task-01/20260416T131415Z_vps-docker-qwen3-32b8x2-single-20-worker,1,20,20,0,751.843,2.71005,3.82,18.924,22087.0611,21892.522,33852.894,50070.473,203.5342,57.372,3783.053,22293.349550000003,21906.624,37639.82,50101.857,17.920224215246638,14.270156950672645,3.650067264573991,0.020179372197309416,710752.8699551569,2927.1478923766817,0.0,44.817556053811664,11.81286995515695,sda,0.2858744394618834,0.0,0.29872197309417037,0.030156950672645743,2934.609865470852,980709.0067264574,1547219.7331838566,33.76008968609865,0.002242152466367713
multi-5x4w-stag500,/root/Zehao/ClawHarness/out/batch_run_1/task-01/20260416T133412Z_vps-docker-qwen3-32b8x2-multi-5x4w-stag300-worker,1,20,20,0,521.6152500000001,9.11545,32.403,93.356,45328.16375,45633.837,72229.241,101442.409,181.42905000000002,91.34,3175.01,45518.749449999996,45706.73,72247.396,101460.015,33.32869198312236,26.32042194092827,7.008270042194093,0.0379746835443038,845248.0843881856,5943.052194092827,0.0,45.09902953586498,18.316160337552745,sda,0.5351476793248945,0.004219409282700422,0.3584810126582279,0.056329113924050635,5776.308481012658,883693.5504201681,1398899.5420168068,33.357142857142854,0.01680672268907563
multi-inst-5x4i,/root/Zehao/ClawHarness/out/batch_run_1/task-01/20260416T134818Z_vps-docker-qwen3-32b8x2-single-inst-5x4i-worker,4,20,20,0,2823.00175,8.25855,33.429,36.472,40460.2554,35297.223,62960.027,116206.719,855.2637500000001,4313.699,4611.702,41323.8145,35666.556,62994.345,116246.456,70.13155524198899,57.62628566008617,12.50526958190281,0.11510835781313064,2494128.3479343657,9641.608475882726,0.0,108.55411261454712,52.41224095568795,sda,0.8139675362236238,0.041259517789234736,0.5087193004884076,0.12733811687519025,10746.225774012712,892733.6373543551,1417049.3030293784,34.285913278370174,0.007659347099002271
multi-inst-5x2ix2w-500,/root/Zehao/ClawHarness/out/batch_run_1/task-01/20260416T151137Z_vps-docker-qwen3-32b8x2-multi-inst-5x2ix2w-stag500-worker,2,20,19,1,741.2520000000001,305.7653157894737,114.873,5657.214,40103.40468421052,28027.493,60138.124,188133.335,178.40868421052633,24.575,3156.039,40587.619315789474,29778.572,60151.18,188147.029,34.98226913889205,27.898375725173473,7.083893413718576,0.0437606643157775,1256895.8942554886,6241.993811853032,0.0,75.43568399499489,23.219855192810826,sda,0.5017375725173473,0.0,0.7800601183028097,0.14933500170629052,6316.030673415993,941026.6241837475,1473082.6493515326,37.131960819880284,0.005044893887175767
