scenario,benchmark_cpu_peak,benchmark_cpu_peak_t_sec,benchmark_rss_peak_kib,benchmark_rss_peak_t_sec,system_disk_pct_util_peak,system_disk_pct_util_peak_t_sec,system_disk_w_await_peak,system_disk_w_await_peak_t_sec,system_interrupts_peak,system_interrupts_peak_t_sec,system_context_switches_peak,system_context_switches_peak_t_sec,system_run_queue_peak,system_run_queue_peak_t_sec
single-w,169.0,38.0,1005644.0,30.0,10.8,105.0,3.51,19.0,1188898.0,378.0,1925574.0,378.0,73.0,106.0
multi-5x4w-stag500,178.0,119.0,1059368.0,104.0,8.8,95.0,4.03,48.0,1058823.0,84.0,1709580.0,84.0,128.0,52.0
multi-inst-5x4i,498.0,15.0,3789336.0,10.0,7.9,0.0,3.6975000000000002,16.0,1030192.25,235.0,1632803.5,235.0,64.0,187.0
multi-inst-5x2ix2w-500,278.0,8.0,2026228.0,34.0,4.0,0.0,3.075,4.0,1099766.5,236.0,1738371.0,283.0,72.0,79.0
