scenario,connect,send,wait,history,total
多会话并发150ms间隔,5922.90725,27.054389999999998,12195.868540000001,40.42767,12263.388899999998
多会话并发300ms间隔,7366.2265,16.96046,11961.39463,200.53666,12178.9297
多会话并发500ms间隔,898.62825,8.49536,15743.31589,41.805910000000004,15793.655120000001
