scenario,docker_cpu_peak,docker_cpu_peak_t_sec,docker_mem_peak,docker_mem_peak_t_sec,pidstat_cpu_peak,pidstat_cpu_peak_t_sec,pidstat_rss_peak,pidstat_rss_peak_t_sec,iostat_pct_util_peak,iostat_pct_util_peak_t_sec,iostat_w_await_peak,iostat_w_await_peak_t_sec,vmstat_interrupts_peak,vmstat_interrupts_peak_t_sec,vmstat_context_switches_peak,vmstat_context_switches_peak_t_sec,perf_context_switches_peak,perf_context_switches_peak_t_sec
vps-docker-single-task-00-500-light,164.56,100.912167,1.52,98.389234,165.0,101.0,1060784.0,100.0,67.1,32.0,858.71,32.0,22089.0,102.0,4530.0,1.0,,
vps-docker-multi-task-00-500-light,165.26,100.916098,1.58,98.392874,168.0,101.0,1093076.0,99.0,63.8,32.0,318.43,32.0,23377.0,102.0,6343.0,13.0,,
