scenario,cpu_percent,mem_percent,block_read_bytes_per_s,block_write_bytes_per_s
vps-docker-single-task-00-500-light,106.40192307692307,1.32,0.0,11423992.245522644
vps-docker-multi-task-00-500-light,108.33145833333333,1.4320833333333332,0.0,11721481.453809835
