scenario,run_dir,requests_total,requests_ok,requests_failed,connect_mean_ms,send_mean_ms,send_p95_ms,send_p99_ms,wait_mean_ms,wait_p50_ms,wait_p95_ms,wait_p99_ms,history_mean_ms,history_p95_ms,history_p99_ms,total_mean_ms,total_p50_ms,total_p95_ms,total_p99_ms,docker_cpu_percent_mean,docker_mem_percent_mean,docker_block_read_bytes_per_s_mean,docker_block_write_bytes_per_s_mean,pidstat_cpu_percent_mean,pidstat_rss_kib_mean,pidstat_kb_wr_per_s_mean,pidstat_iodelay_mean,pidstat_cswch_per_s_mean,pidstat_nvcswch_per_s_mean,iostat_busiest_device,iostat_pct_util_mean,iostat_r_await_mean,iostat_w_await_mean,iostat_f_await_mean,iostat_aqu_sz_mean,iostat_wkb_s_mean,vmstat_interrupts_per_s_mean,vmstat_context_switches_per_s_mean,vmstat_run_queue_mean,perf_cache_misses_mean,perf_context_switches_mean,perf_cpu_migrations_mean,perf_page_faults_mean,perf_unsupported_events,strace_events_per_s_peak,strace_events_per_s_peak_t_sec,strace_duration_ms_per_s_peak,strace_duration_ms_per_s_peak_t_sec,strace_top_syscall,strace_top_syscall_total_duration_sec,node_fs_async_mean_ms,node_fs_callback_mean_ms,node_promise_callback_mean_ms,node_event_loop_immediate_mean_ms,node_event_loop_timers_mean_ms,node_fs_async_count,node_fs_callback_count,node_promise_callback_count,node_top_fs_path,node_top_fs_path_count,gateway_bootstrap_load_mean_ms,gateway_skills_mean_ms,gateway_context_bundle_mean_ms,gateway_execution_admission_wait_mean_ms,gateway_reply_dispatch_queue_wait_mean_ms,gateway_reply_dispatch_queue_hold_mean_ms,gateway_reply_dispatch_pending_mean,node_sessions_lock_total_ms,node_sessions_lock_count,node_sessions_dir_enum_total_ms,node_sessions_dir_enum_count,node_sessions_json_total_ms,node_sessions_json_count,node_sessions_tmp_total_ms,node_sessions_tmp_count,node_bootstrap_files_total_ms,node_bootstrap_files_count
vps-docker-single-task-00-500-light,/root/client-harness/out/20260326T120941Z_vps-docker-single-task-00-500-light,500,500,0,72.561,0.745324,0.75,4.595,107.44451,102.208,121.738,135.285,10.377038,13.97,15.463,118.590992,114.308,134.288,150.5,103.98458333333333,4.129166666666667,0.0,34661.029875104876,103.27118644067797,2792252.881355932,575.3220338983051,0.0,307.8813559322034,3.3728813559322033,vda,0.7796610169491526,0.0,1.0064406779661017,0.01694915254237288,0.020508474576271186,701.5593220338983,11841.883333333333,15533.216666666667,1.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vps-docker-multi-task-00-500-light,/root/client-harness/out/20260326T121410Z_vps-docker-multi-task-00-500-light,500,500,0,241.7969,1.834776,1.193,34.547,1033.0548079999999,998.626,1318.619,2375.731,6.180184000000001,9.969,14.222,1041.0935,1004.444,1330.842,2382.452,105.2409090909091,4.130454545454546,0.0,77629.39080159865,104.42592592592592,2793042.0,671.4814814814815,0.0,100.16666666666667,4.203703703703703,vda,0.8296296296296296,0.0,1.0162962962962963,0.037037037037037035,0.021111111111111112,833.7777777777778,11948.290909090909,16426.21818181818,1.2363636363636363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
