scenario,sessions_lock_total_ms,sessions_lock_count,sessions_dir_enum_total_ms,sessions_dir_enum_count,sessions_json_total_ms,sessions_json_count,sessions_tmp_total_ms,sessions_tmp_count,bootstrap_files_total_ms,bootstrap_files_count
vps-docker-single-task-00-500-light,,,,,,,,,,
vps-docker-multi-task-00-500-light,,,,,,,,,,
