scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
vps-docker-single-task-00-500-light,0.75,4.595,102.208,121.738,135.285,13.97,15.463,134.288,150.5
vps-docker-multi-task-00-500-light,1.193,34.547,998.626,1318.619,2375.731,9.969,14.222,1330.842,2382.452
