scenario,interrupts_per_s,system_context_switches_per_s,run_queue,perf_cache_misses,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_unsupported_events,strace_events_per_s_peak,strace_duration_ms_per_s_peak,strace_top_syscall,strace_top_syscall_total_duration_sec
vps-docker-single-task-00-500-light,11841.883333333333,15533.216666666667,1.3333333333333333,,,,,,,,,
vps-docker-multi-task-00-500-light,11948.290909090909,16426.21818181818,1.2363636363636363,,,,,,,,,
