scenario,busiest_device,pct_util,r_await,w_await,aqu_sz,system_wkb_s,benchmark_kb_wr_per_s
single-w,sda,0.27474370922646785,0.002329916123019571,0.24406337371854614,0.021817334575955267,2324.19008387698,2284.3690587138863
multi-25x4w-stag500,sda,0.46787234042553194,0.002872340425531915,0.47200000000000003,0.052978723404255315,4451.497872340426,4323.41259574468
multi-inst-25x1dx4ix1w-stag500,sda,0.4869642857142857,0.0,0.42776785714285714,0.08751785714285713,5700.328571428571,2357.0170036793593
multi-inst-25x2dx2ix1w-500,sda,0.8285320334261839,0.009928372463191405,0.5918366096299243,0.14338308794269797,9302.209116593713,3527.2931457312256
