scenario,total_mean,total_p50,total_p95,total_p99
single-w,10716.11214,10587.211,11609.176,28131.085
multi-25x4w-stag500,15793.655120000001,14126.145,19222.43,40556.523
multi-inst-25x1dx4ix1w-stag500,14649.95698,12456.189,34271.329,47058.792
multi-inst-25x2dx2ix1w-500,12696.39456,12318.753,15518.988,27211.727
