scenario,rss_kib_total
single-w,611623.2544268406
multi-25x4w-stag500,752520.5021276596
multi-inst-25x1dx4ix1w-stag500,2009671.477045045
multi-inst-25x2dx2ix1w-500,2230756.2837333335
