scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
single-w,4.989,11.338,10577.986,11599.22,23612.275,10.934,17.26,11609.176,28131.085
multi-25x4w-stag500,23.974,56.965,14114.849,19210.958,40541.727,16.97,33.874,19222.43,40556.523
multi-inst-25x1dx4ix1w-stag500,13.643,40.919,12446.958,34261.942,47041.983,22.523,4289.627,34271.329,47058.792
multi-inst-25x2dx2ix1w-500,10.526,31.706,12285.103,15217.58,22792.475,17.965,4413.615,15518.988,27211.727
