scenario,busiest_device,pct_util,r_await,w_await,f_await,aqu_sz,wkb_s
single-w,sda,0.2858744394618834,0.0,0.29872197309417037,0.0,0.030156950672645743,2934.609865470852
multi-5x4w-stag500,sda,0.4451048951048951,0.0034965034965034965,0.3327622377622378,0.0,0.05951048951048951,4970.797202797203
multi-inst-5x4i,,,,,,,
