scenario,connect,send,wait,history,total
single-w,751.843,2.71005,22087.0611,203.5342,22293.349550000003
multi-5x4w-stag500,16489.15075,26.274399999999996,44086.4872,191.469,44304.2697
multi-inst-5x4i,2823.00175,8.25855,40460.2554,855.2637500000001,41323.8145
