scenario,cpu_percent,rss_kib,kb_wr_per_s,iodelay,cswch_per_s,nvcswch_per_s
single-w,17.920224215246638,710752.8699551569,2927.1478923766817,0.0,44.817556053811664,11.81286995515695
multi-5x4w-stag500,29.97902097902098,845271.7622377622,4953.748251748252,0.0,48.40909090909091,14.583916083916083
multi-inst-5x4i,,,,,,
