scenario,total_mean,total_p50,total_p95,total_p99
single-w,22293.349550000003,21906.624,37639.82,50101.857
multi-5x4w-stag500,44304.2697,37044.969,80705.627,93148.206
multi-inst-5x4i,41323.8145,35666.556,62994.345,116246.456
