scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
single-w,3.82,18.924,21892.522,33852.894,50070.473,57.372,3783.053,37639.82,50101.857
multi-5x4w-stag500,175.992,238.899,37016.605,80667.52,93109.145,56.176,3519.225,80705.627,93148.206
multi-inst-5x4i,33.429,36.472,35297.223,62960.027,116206.719,4313.699,4611.702,62994.345,116246.456
