scenario,run_dir,run_started_at,run_finished_at,run_wall_clock_sec,first_request_started_at,last_request_finished_at,request_window_sec
multi-5x4w-stag150,/root/Zehao/ClawHarness/out/batch_run_4/task-01/20260417T134948Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag150-worker,2026-04-17T13:49:57.119999+00:00,2026-04-17T13:51:07.904777+00:00,70.784778,2026-04-17T13:50:03.936045+00:00,2026-04-17T13:50:56.718002+00:00,52.781957
multi-5x4w-stag300,/root/Zehao/ClawHarness/out/batch_run_4/task-01/20260417T135200Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag300-worker,2026-04-17T13:52:08.019987+00:00,2026-04-17T13:53:18.460655+00:00,70.440668,2026-04-17T13:52:08.086455+00:00,2026-04-17T13:53:11.689935+00:00,63.60348
multi-5x4w-stag500,/root/Zehao/ClawHarness/out/batch_run_4/task-01/20260417T135418Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag500-worker,2026-04-17T13:54:27.021504+00:00,2026-04-17T13:55:36.898371+00:00,69.876867,2026-04-17T13:54:27.092274+00:00,2026-04-17T13:55:24.380321+00:00,57.288047
