scenario,rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
multi-5x4w-stag150,20,66.35,10.13998275,6.7642342
multi-5x4w-stag300,20,84.6,8.3483222,4.8691136
multi-5x4w-stag500,20,68.0,7.6448312000000005,5.45403615
