scenario,interrupts_per_s,system_context_switches_per_s,run_queue,blocked_processes,benchmark_cswch_per_s,benchmark_nvcswch_per_s,benchmark_iodelay
multi-5x4w-stag150,761304.3125,1296139.8125,21.640625,0.0,29.074285714285715,38.84619047619047,0.0
multi-5x4w-stag300,791675.2835820896,1307475.8507462686,24.47761194029851,0.029850746268656716,31.145303030303033,32.461666666666666,0.0
multi-5x4w-stag500,775645.2575757576,1302836.8484848484,26.03030303030303,0.0,30.323076923076922,164.12307692307692,0.0
