scenario,run_dir,instance_num,requests_total,requests_ok,requests_failed,connect_mean_ms,send_mean_ms,send_p95_ms,send_p99_ms,wait_mean_ms,wait_p50_ms,wait_p95_ms,wait_p99_ms,history_mean_ms,history_p95_ms,history_p99_ms,total_mean_ms,total_p50_ms,total_p95_ms,total_p99_ms,benchmark_cpu_percent_mean,benchmark_cpu_usr_percent_mean,benchmark_cpu_system_percent_mean,benchmark_cpu_wait_percent_mean,benchmark_rss_kib_mean,benchmark_kb_wr_per_s_mean,benchmark_iodelay_mean,benchmark_cswch_per_s_mean,benchmark_nvcswch_per_s_mean,system_busiest_device,system_disk_pct_util_mean,system_disk_r_await_mean,system_disk_w_await_mean,system_disk_aqu_sz_mean,system_disk_wkb_s_mean,system_interrupts_per_s_mean,system_context_switches_per_s_mean,system_run_queue_mean,system_blocked_processes_mean,npu_utilization_mean,npu_hbm_usage_mean,npu_aicore_usage_mean,token_rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
multi-5x4w-stag150,/root/Zehao/ClawHarness/out/batch_run_1/task-01/20260416T133141Z_vps-docker-qwen3-32b8x2-multi-5x4w-stag150-request,1,20,20,0,545.87575,11.661150000000001,65.402,123.36,25301.06815,20836.667,45755.442,46024.308,164.12740000000002,95.674,2991.215,25476.8958,20872.248,45772.739,46040.833,45.848872180451124,37.16481203007519,8.68406015037594,0.045112781954887216,952013.8646616541,6720.687593984962,0.0,43.486090225563906,23.097669172932328,sda,0.6,0.0,0.5057142857142858,0.10270676691729323,7541.684210526316,862355.3805970149,1389390.5447761193,30.261194029850746,0.007462686567164179,,,,,,,
multi-5x4w-stag300,/root/Zehao/ClawHarness/out/batch_run_1/task-01/20260416T133828Z_vps-docker-qwen3-32b8x2-multi-5x4w-stag300-request,1,20,20,0,540.33375,9.687999999999999,33.918,110.163,23853.886300000002,19421.576,49084.323,49947.602,163.6163,20.165,3038.712,24027.23195,19434.949,49099.507,49964.462,50.3515625,40.6953125,9.65625,0.0546875,961397.5625,8865.40625,0.0,41.53125,30.015625,sda,0.68359375,0.015625,0.48328125,0.098125,8773.46875,856420.2248062015,1386105.488372093,29.58139534883721,0.0,,,,,,,
multi-5x4w-stag500,/root/Zehao/ClawHarness/out/batch_run_1/task-01/20260416T134556Z_vps-docker-qwen3-32b8x2-multi-5x4w-stag500-request,1,20,20,0,16413.064000000002,39.1502,148.992,312.9,20642.2422,19923.716,29202.881,29932.598,444.61585,30.865,8603.807,21126.0478,19950.484,29235.442,30088.631,50.826771653543304,40.25984251968504,10.566929133858268,0.05511811023622047,970353.4488188976,8612.976377952757,0.0,44.181102362204726,27.401574803149607,sda,0.7960629921259842,0.015748031496062992,0.4225984251968504,0.10015748031496063,8517.952755905511,854584.4921875,1387013.3359375,29.09375,0.015625,,,,,,,
