scenario,busiest_device,pct_util,r_await,w_await,aqu_sz,system_wkb_s,benchmark_kb_wr_per_s
multi-5x4w-stag150,sda,0.6,0.0,0.5057142857142858,0.10270676691729323,7541.684210526316,6720.687593984962
multi-5x4w-stag300,sda,0.68359375,0.015625,0.48328125,0.098125,8773.46875,8865.40625
multi-5x4w-stag500,sda,0.7960629921259842,0.015748031496062992,0.4225984251968504,0.10015748031496063,8517.952755905511,8612.976377952757
