scenario,total_mean,total_p50,total_p95,total_p99
multi-5x4w-stag150,17514.40935,12623.553,67009.629,70347.32
multi-5x4w-stag300,11429.20145,11043.751,21058.254,21649.955
multi-5x4w-stag500,18057.519800000002,17138.977,20794.795,81624.964
