scenario,run_dir,run_started_at,run_finished_at,run_wall_clock_sec,first_request_started_at,last_request_finished_at,request_window_sec
multi-5x4w-stag150,/root/Zehao/ClawHarness/out/batch_run_3/task-01/20260417T094851Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag150-worker,2026-04-17T09:49:00.261743+00:00,2026-04-17T09:51:09.198506+00:00,128.936763,2026-04-17T09:49:07.279466+00:00,2026-04-17T09:50:55.729550+00:00,108.450084
multi-5x4w-stag300,/root/Zehao/ClawHarness/out/batch_run_3/task-01/20260417T095237Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag300-worker,2026-04-17T09:52:46.168760+00:00,2026-04-17T09:54:00.107097+00:00,73.938337,2026-04-17T09:52:53.710029+00:00,2026-04-17T09:53:56.462400+00:00,62.752371
multi-5x4w-stag500,/root/Zehao/ClawHarness/out/batch_run_3/task-01/20260417T095528Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag500-worker,2026-04-17T09:55:37.130519+00:00,2026-04-17T09:58:02.372163+00:00,145.241644,2026-04-17T09:55:37.201684+00:00,2026-04-17T09:57:55.071923+00:00,137.870239
