scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
multi-5x4w-stag150,183.825,217.819,12600.134,66998.67,70122.295,9613.873,9619.61,67009.629,70347.32
multi-5x4w-stag300,181.194,184.134,11024.746,21047.44,21452.439,9467.531,9469.831,21058.254,21649.955
multi-5x4w-stag500,57.318,225.306,15873.769,20784.866,81611.582,31.986,3332.91,20794.795,81624.964
