scenario,total_mean,total_p50,total_p95,total_p99
multi-5x4w-stag150,49922.70945,45139.027,122611.658,167421.788
multi-5x4w-stag300,45518.749449999996,45706.73,72247.396,101460.015
multi-5x4w-stag500,44304.2697,37044.969,80705.627,93148.206
