scenario,run_dir,run_started_at,run_finished_at,run_wall_clock_sec,first_request_started_at,last_request_finished_at,request_window_sec
single-w,/root/Zehao/ClawHarness/out/batch_run_2/task-01/20260416T190912Z_vps-docker-qwen3-235b8x2-single-20-worker,2026-04-16T19:09:21.355065+00:00,2026-04-16T19:11:22.784692+00:00,121.429627,2026-04-16T19:09:51.967445+00:00,2026-04-16T19:11:08.564225+00:00,76.59678
single-r,/root/Zehao/ClawHarness/out/batch_run_2/task-01/20260416T191122Z_vps-docker-qwen3-235b8x2-single-20-request,2026-04-16T19:11:32.744164+00:00,2026-04-16T19:13:35.127188+00:00,122.383024,2026-04-16T19:11:32.820609+00:00,2026-04-16T19:13:20.476059+00:00,107.65545
single-inst-w,/root/Zehao/ClawHarness/out/batch_run_2/task-01/20260416T192337Z_vps-docker-qwen3-235b8x2-single-inst-5x4i-worker,2026-04-16T19:24:11.177609+00:00,2026-04-16T19:29:59.042137+00:00,347.864528,2026-04-16T19:24:11.261403+00:00,2026-04-16T19:29:08.677323+00:00,297.41592
single-inst-r,/root/Zehao/ClawHarness/out/batch_run_2/task-01/20260416T192959Z_vps-docker-qwen3-235b8x2-single-inst-5x4i-request,2026-04-16T19:30:34.477731+00:00,2026-04-16T19:32:38.411778+00:00,123.934047,2026-04-16T19:30:34.562898+00:00,2026-04-16T19:31:39.354804+00:00,64.791906
