scenario,rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
single-w,20,39.5,13.335598300000001,6.843361300000001
single-r,20,16.15,3.3422813499999995,3.3422813499999995
single-inst-w,20,98.4,7.9916459500000006,6.14242045
single-inst-r,20,16.85,1.93173345,1.93173345
