scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
single-w,4.355,22.625,2865.895,3733.289,16750.14,13.705,4347.731,3741.048,21102.278
single-r,11.023,22.391,4651.527,5313.565,14581.131,8.588,3966.402,5324.246,18552.41
single-inst-w,33.698,39.3,13259.776,17850.009,216012.715,3986.259,4486.557,20082.315,216020.342
single-inst-r,27.454,35.562,8472.471,15847.561,33515.782,3867.856,3944.455,19634.753,37387.22
