scenario,total_mean,total_p50,total_p95,total_p99
single-w,3829.7934,2874.673,3741.048,21102.278
single-r,5382.726049999999,4659.412,5324.246,18552.41
single-inst-w,23619.18395,14316.568,20082.315,216020.342
single-inst-r,11038.93545,8480.94,19634.753,37387.22
