scenario,total_mean,total_p50,total_p95,total_p99
serial-100,330.46091,321.276,345.605,551.666
1c1i-10w,13067.03475,13988.001,16047.475,16498.625
2c2oc-2x5w,5698.88479,5544.863,10813.527,11448.997
