scenario,connect,send,wait,history,total
serial-100,60.008,241.97731,57.30236,31.15816,330.46091
1c1i-10w,1309.5438,244.89254,12700.28378,121.83999,13067.03475
2c2oc-2x5w,1086.5399,300.77644,5195.52347,202.55682000000002,5698.88479
