scenario,cpu_user_pct_mean,cpu_system_pct_mean,cpu_iowait_pct_mean,cpu_idle_pct_mean,mem_free_kib_mean,mem_buff_kib_mean,mem_cache_kib_mean,disk_pct_util_mean,disk_w_await_ms_mean,disk_aqu_sz_mean,interrupts_per_s_mean,context_switches_per_s_mean,run_queue_mean,blocked_processes_mean
serial-100,1.105263157894737,1.0,0.0,98.02631578947368,831273861.0526316,3096927.3684210526,1112295228.631579,2.4675675675675675,2.6724324324324322,1.094864864864865,442433.34210526315,810961.8421052631,3.289473684210526,0.02631578947368421
1c1i-10w,1.0,1.0166666666666666,0.0,98.05,831349704.5333333,3096972.8666666667,1112355236.2666667,2.3589830508474576,2.87864406779661,1.156101694915254,452442.25,831199.2666666667,3.15,0.016666666666666666
2c2oc-2x5w,,,,,,,,,,,,,,
