scenario,run_dir,sample_count,fs_worker_exec_count,fs_worker_exec_pct,fs_callback_count,fs_callback_pct,event_loop_poll_count,event_loop_poll_pct,microtask_count,microtask_pct,futex_sync_count,futex_sync_pct,worker_message_count,worker_message_pct,json_parse_count,json_parse_pct,libuv_worker_other_count,libuv_worker_other_pct,gateway_main_other_count,gateway_main_other_pct,v8_worker_count,v8_worker_pct,other_count,other_pct
serial-100,/root/Zehao/ClawHarness/out/batch_run_burst_smoke/context-list-smoke/20260523T235202Z_vps-docker-burst-smoke-burst-serial-100-smoke,,,,,,,,,,,,,,,,,,,,,,,
1c1i-10w,/root/Zehao/ClawHarness/out/batch_run_burst_smoke/context-list-smoke/20260523T235241Z_vps-docker-burst-smoke-burst-single-container-single-instance-10w-smoke,,,,,,,,,,,,,,,,,,,,,,,
2c2oc-2x5w,/root/Zehao/ClawHarness/out/batch_run_burst_smoke/context-list-smoke/20260524T000139Z_vps-docker-burst-smoke-burst-multi-container-multi-openclaw-2x2x5w-smoke,,,,,,,,,,,,,,,,,,,,,,,
