scenario,interrupts_per_s,system_context_switches_per_s,run_queue,perf_cache_misses,perf_context_switches,perf_cpu_migrations,perf_page_faults,perf_unsupported_events,strace_events_per_s_peak,strace_duration_ms_per_s_peak,strace_top_syscall,strace_top_syscall_total_duration_sec
serial-100,442433.34210526315,810961.8421052631,3.289473684210526,,,,,,,,,
1c1i-10w,452442.25,831199.2666666667,3.15,,,,,,,,,
2c2oc-2x5w,,,,,,,,,,,,
