scenario,total_mean,total_p50,total_p95,total_p99
单实例串行,10716.11214,10587.211,11609.176,28131.085
单实例并行,15793.655120000001,14126.145,19222.43,40556.523
多实例并行,14649.95698,12456.189,34271.329,47058.792
