scenario,run_dir,run_started_at,run_finished_at,run_wall_clock_sec,first_request_started_at,last_request_finished_at,request_window_sec
single-w,/root/Zehao/ClawHarness/out/batch_run_4/task-01/20260417T134840Z_vps-docker-qwen3-235b8x2-single-20-request,2026-04-17T13:48:47.361040+00:00,2026-04-17T13:49:48.646869+00:00,61.285829,2026-04-17T13:48:47.455688+00:00,2026-04-17T13:49:37.487368+00:00,50.03168
multi-5x4w-stag500,/root/Zehao/ClawHarness/out/batch_run_4/task-01/20260417T135537Z_vps-docker-qwen3-235b8x2-multi-5x4w-stag500-request,2026-04-17T13:55:44.330650+00:00,2026-04-17T13:56:28.199288+00:00,43.868638,2026-04-17T13:55:44.402296+00:00,2026-04-17T13:56:20.479295+00:00,36.076999
multi-inst-5x4i,/root/Zehao/ClawHarness/out/batch_run_4/task-01/20260417T135839Z_vps-docker-qwen3-235b8x2-single-inst-5x4i-request,2026-04-17T13:59:11.448713+00:00,2026-04-17T14:00:11.042251+00:00,59.593538,2026-04-17T13:59:11.609570+00:00,2026-04-17T13:59:37.032925+00:00,25.423355
multi-inst-5x2ix2w-500,/root/Zehao/ClawHarness/out/batch_run_4/task-01/20260417T140456Z_vps-docker-qwen3-235b8x2-multi-inst-5x2ix2w-stag500-request,2026-04-17T14:05:10.290849+00:00,2026-04-17T14:06:24.063320+00:00,73.772471,2026-04-17T14:05:10.357046+00:00,2026-04-17T14:05:56.007609+00:00,45.650563
