scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
single-w,8.306,17.617,1692.205,1776.343,13839.042,6.372,3924.486,1782.849,17767.614
multi-5x4w-stag500,413.9,4409.743,3227.596,17373.795,17380.856,26.197,3835.357,21220.16,21792.138
multi-inst-5x4i,25.862,29.17,2539.262,11351.013,11352.431,4012.823,4035.64,15257.345,15369.184
multi-inst-5x2ix2w-500,28.554,610.506,2952.528,14509.429,18363.472,2804.957,10258.548,14518.505,18375.589
