scenario,total_mean,total_p50,total_p95,total_p99
single-w,2501.54165,1699.19,1782.849,17767.614
multi-5x4w-stag500,6249.9945,3272.718,21220.16,21792.138
multi-inst-5x4i,4971.895149999999,2559.325,15257.345,15369.184
multi-inst-5x2ix2w-500,6914.424000000001,3102.909,14518.505,18375.589
