scenario,interrupts_per_s,system_context_switches_per_s,run_queue,blocked_processes,benchmark_cswch_per_s,benchmark_nvcswch_per_s,benchmark_iodelay
single-w,770304.9821428572,1340610.6964285714,16.017857142857142,0.0,39.4,39.49090909090909,0.0
multi-5x4w-stag500,731952.5263157894,1291726.3157894737,14.105263157894736,0.0,43.513513513513516,65.08108108108108,0.0
multi-inst-5x4i,731501.1735156857,1338274.9545226214,11.99326711174488,0.008774630541871921,88.99716273638641,172.3258008658009,0.0
multi-inst-5x2ix2w-500,764137.6653138528,1312433.0018939395,20.929653679653683,0.0,53.77144055944056,66.56247552447553,0.0
