scenario,total_mean,total_p50,total_p95,total_p99
single-w,6463.907,4960.111,19077.865,27671.77
multi-5x4w-stag500,18057.519800000002,17138.977,20794.795,81624.964
multi-inst-5x4i,16953.2044,14750.209,29105.079,44384.492
multi-inst-5x2ix2w-500,15220.5209,13250.743,27143.663,29289.514
