scenario,interrupts_per_s,system_context_switches_per_s,run_queue,blocked_processes,benchmark_cswch_per_s,benchmark_nvcswch_per_s,benchmark_iodelay
single-w,881022.0,1410798.3450704226,28.260563380281692,0.007042253521126761,32.9290780141844,68.40425531914893,0.0
multi-5x4w-stag500,864150.3191489362,1365902.1063829786,33.304964539007095,0.0,26.29787234042553,57.709219858156025,0.0
multi-inst-5x4i,808216.3913030964,1355873.0851194384,25.125151629072683,0.007847953216374269,77.91857154893528,120.57772928876085,0.0
multi-inst-5x2ix2w-500,806590.9854368933,1332261.995145631,26.533980582524272,0.009708737864077669,46.990196078431374,46.294117647058826,0.0
