scenario,rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
single-w,20,80.8,15.7470213,9.4084444
multi-5x4w-stag500,20,118.5,8.33801125,4.11588815
multi-inst-5x4i,20,91.15,6.9415478,4.7167027500000005
multi-inst-5x2ix2w-500,20,114.15,52.80563975,50.6157089
