scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
single-w,12.813,17.486,4932.883,15093.321,27660.346,22.146,3979.985,19077.865,27671.77
multi-5x4w-stag500,57.318,225.306,15873.769,20784.866,81611.582,31.986,3332.91,20794.795,81624.964
multi-inst-5x4i,31.824,33.747,14677.987,29097.284,44372.283,4190.817,4823.283,29105.079,44384.492
multi-inst-5x2ix2w-500,208.83,624.851,13238.532,25805.592,27129.037,3479.221,10387.212,27143.663,29289.514
