scenario,total_mean,total_p50,total_p95,total_p99
multi-25x4w-stag150,12263.388899999998,10095.369,22580.736,59863.117
multi-25x4w-stag300,12178.9297,11751.39,21972.822,49261.294
multi-25x4w-stag500,15793.655120000001,14126.145,19222.43,40556.523
