scenario,interrupts_per_s,system_context_switches_per_s,run_queue,blocked_processes,benchmark_cswch_per_s,benchmark_nvcswch_per_s,benchmark_iodelay
multi-25x4w-stag150,843939.4396551724,1338884.073275862,33.19396551724138,0.0021551724137931034,29.29926724137931,18.506443965517242,0.0
multi-25x4w-stag300,795641.0719602978,1289057.9032258065,31.263027295285358,0.0,26.163781094527362,32.46268656716418,0.0
multi-25x4w-stag500,821966.9595744681,1316656.8063829788,32.304255319148936,0.002127659574468085,29.16125531914894,17.327468085106382,0.0
