scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
single-w,4.989,11.338,10577.986,11599.22,23612.275,10.934,17.26,11609.176,28131.085
single-r,28.701,32.891,5031.352,5542.047,5705.789,17.145,23.607,5551.443,5732.552
single-inst-w,26.177,40.431,11218.41,18914.857,24114.181,31.825,4425.834,21382.561,24126.145
single-inst-r,14.23,30.37,8865.024,9491.228,17599.009,20.622,4237.117,9524.048,21767.57
