scenario,connect,send,wait,history,total
single-w,67.328,3.7432,10659.810309999999,52.52391000000001,10716.11214
single-r,65.913,10.15706,5154.91609,51.58238,5216.69218
single-inst-w,2331.294,6.28886,11241.888729999999,183.00159,11431.21781
single-inst-r,1975.9675000000002,5.56177,9218.57917,179.49531,9403.67059
