scenario,interrupts_per_s,system_context_switches_per_s,run_queue,blocked_processes,benchmark_cswch_per_s,benchmark_nvcswch_per_s,benchmark_iodelay
single-w,922447.7912395154,1423632.5358807084,37.466915191053126,0.0027958993476234857,30.418909599254427,7.982283317800559,0.0
single-r,857937.1778202677,1381653.1070745697,30.688336520076483,0.0038240917782026767,33.46319923371648,23.7316091954023,0.0
single-inst-w,837190.9402065659,1361502.4283832663,31.624934541970507,0.00277056858182686,67.96064714548986,48.46349936028744,0.0
single-inst-r,794327.6016661737,1323452.4594697389,28.546933010172843,0.015179155771498542,82.50573160139055,62.04821314534907,0.0
