scenario,total_mean,total_p50,total_p95,total_p99
single-w,10716.11214,10587.211,11609.176,28131.085
single-r,5216.69218,5048.535,5551.443,5732.552
single-inst-w,11431.21781,11228.398,21382.561,24126.145
single-inst-r,9403.67059,8876.57,9524.048,21767.57
