scenario,send_p95,send_p99,wait_p50,wait_p95,wait_p99,history_p95,history_p99,total_p95,total_p99
single-inst-25x4i-stag0,26.177,40.431,11218.41,18914.857,24114.181,31.825,4425.834,21382.561,24126.145
single-inst-25x4i-0-lim,23.319,33.632,9089.207,20027.631,70543.205,22.561,4290.323,24321.906,70557.738
single-inst-25x4i-stag300-lim,28.561,60.738,14519.101,28451.256,31058.345,28.8,4393.879,28468.426,31069.254
