scenario,total_mean,total_p50,total_p95,total_p99
single-w,5860.68575,4861.988,5158.431,24784.4
multi-5x4w-stag500,10067.96335,9249.64,12467.021,19433.761
multi-inst-5x4i,11248.8467,9063.101,22376.036,23549.777
multi-inst-5x2ix2w-500,11425.0346,9535.048,21148.653,21372.811
