scenario,interrupts_per_s,system_context_switches_per_s,run_queue,blocked_processes,benchmark_cswch_per_s,benchmark_nvcswch_per_s,benchmark_iodelay
single-w,845172.9024390244,1385974.894308943,29.21951219512195,0.024390243902439025,32.040983606557376,26.401639344262296,0.0
multi-5x4w-stag500,775116.1076923077,1295361.923076923,25.630769230769232,0.0,35.15625,35.40625,0.0
multi-inst-5x4i,787868.6297879617,1346129.8479480164,24.822366621067033,0.00872093023255814,109.61646146830824,145.43705947495278,0.0
multi-inst-5x2ix2w-500,786730.6623423423,1313561.3385585584,27.48918918918919,0.013423423423423425,61.32432432432432,82.97297297297297,0.0
