scenario,rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
single-w,20,16.5,3.2674942000000002,3.2674942000000002
multi-5x4w-stag500,20,16.95,1.76332095,1.76332095
multi-inst-5x4i,20,16.9,1.7603986500000002,1.7603986500000002
multi-inst-5x2ix2w-500,20,17.0,1.7129881999999998,1.7129881999999998
