scenario,rows_with_usage,output_tokens_mean,output_tps_request_mean,output_tps_session_delta_mean
single-w,20,109.15,17.2957057,6.74807795
multi-5x4w-stag500,20,68.0,7.6448312000000005,5.45403615
multi-inst-5x4i,20,80.8,8.1730582,4.6883694
multi-inst-5x2ix2w-500,20,73.0,7.596637749999999,4.5891965
