scenario,total_mean,total_p50,total_p95,total_p99
single-w,7557.1126,5879.542,17114.873,25315.04
multi-5x4w-stag500,10026.6164,8580.281,15561.519,17774.751
multi-inst-5x4i,10815.8439,10905.986,15320.315,15943.851
multi-inst-5x2ix2w-500,10465.932799999999,9581.437,15250.481,28845.977
