scenario,total_mean,total_p50,total_p95,total_p99
single-w,7557.1126,5879.542,17114.873,25315.04
single-r,2501.54165,1699.19,1782.849,17767.614
single-inst-w,10815.8439,10905.986,15320.315,15943.851
single-inst-r,4971.895149999999,2559.325,15257.345,15369.184
