scenario,benchmark_cpu_peak,benchmark_cpu_peak_t_sec,benchmark_rss_peak_kib,benchmark_rss_peak_t_sec,system_disk_pct_util_peak,system_disk_pct_util_peak_t_sec,system_disk_w_await_peak,system_disk_w_await_peak_t_sec,system_interrupts_peak,system_interrupts_peak_t_sec,system_context_switches_peak,system_context_switches_peak_t_sec,system_run_queue_peak,system_run_queue_peak_t_sec,npu_utilization_peak,npu_utilization_peak_t_sec,npu_aicore_peak,npu_aicore_peak_t_sec,npu_hbm_peak,npu_hbm_peak_t_sec
single-w,187.0,80.0,930912.0,67.0,10.4,44.0,2.94,85.0,1093995.0,96.0,1693588.0,96.0,72.0,13.0,92.8125,57.516495,31.0,57.516495,93.5,0.0
single-r,131.0,1.0,914220.0,50.0,9.6,40.0,5.74,22.0,936206.0,12.0,1484633.0,46.0,66.0,11.0,37.875,36.895812,16.8125,36.895812,93.5,0.0
single-inst-w,394.0,25.0,3199080.0,16.0,5.625,8.0,2.55,34.0,872182.25,62.0,1414440.25,5.0,54.5,62.0,95.5,75.276366,52.5625,48.600744,93.625,47.735599
single-inst-r,366.0,2.0,3197428.0,9.0,6.3,9.0,2.3875,29.0,795603.75,28.0,1414507.5,31.0,29.5,20.0,64.5,18.743364,31.75,18.743364,93.625,18.594372
