scenario,interrupts_per_s,system_context_switches_per_s,run_queue,blocked_processes,benchmark_cswch_per_s,benchmark_nvcswch_per_s,benchmark_iodelay
single-w,903929.6193548387,1422375.0064516128,34.748387096774195,0.012903225806451613,33.83766233766234,17.883116883116884,0.0
single-r,770304.9821428572,1340610.6964285714,16.017857142857142,0.0,39.4,39.49090909090909,0.0
single-inst-w,771537.3549918612,1341048.5323657081,19.82927292457949,0.020944112859468258,77.73939725691999,170.70134404234153,0.0
single-inst-r,731501.1735156857,1338274.9545226214,11.99326711174488,0.008774630541871921,88.99716273638641,172.3258008658009,0.0
