scenario,cpu_percent,rss_kib,kb_wr_per_s,iodelay,cswch_per_s,nvcswch_per_s
serial-100,92.83333333333333,482617.3333333333,17287.333333333332,0.0,46.5,37.333333333333336
1c1i-10w,94.77166666666666,490004.6666666667,17271.121666666666,0.0,60.20166666666666,73.245
1c2oc-2x5w,,,,,,
