scenario,utilization_pct,hbm_usage_pct,aicore_usage_pct,aivector_usage_pct,aicpu_usage_pct,ctrlcpu_usage_pct
serial-100,,,,,,
1c1i-10w,,,,,,
1c2oc-2x5w,,,,,,
